method,iterations,learning_rate,depth,l2_leaf_reg,accuracy,macro_precision,macro_recall,macro_f1_score,training_time_seconds,prediction_time_ms_per_roi,samples_evaluated,classes_evaluated,class_labels,per_class_precision,per_class_recall,per_class_f1_score,per_class_support,confusion_matrix
CatBoost,100,0.03,4,1,0.4796185202276573,0.4156748085760082,0.35962623675797084,0.3528089547470962,1.9869872000126634,0.0009319796962192212,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.6097560975609756, 'Ripe': 0.44339622641509435, 'Rotten': 0.5045795170691091, 'Unripe': 0.5206422018348624, 'images': 0.0}","{'Overripe': 0.1594896331738437, 'Ripe': 0.7107750472589792, 'Rotten': 0.36771844660194175, 'Unripe': 0.5601480567550895, 'images': 0.0}","{'Overripe': 0.2528445006321112, 'Ripe': 0.5461147421931736, 'Rotten': 0.4254124254124254, 'Unripe': 0.5396731054977711, 'images': 0.0}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[100, 378, 80, 69, 0], [35, 1504, 236, 341, 0], [17, 743, 606, 282, 0], [9, 566, 138, 908, 0], [3, 201, 141, 144, 0]]"
CatBoost,100,0.03,4,3,0.48177203507152744,0.41784155153109614,0.3618897829322275,0.3548742000420264,1.5005251999828033,0.0010112598062780999,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.6153846153846154, 'Ripe': 0.4455562095350206, 'Rotten': 0.5051813471502591, 'Unripe': 0.5230855855855856, 'images': 0.0}","{'Overripe': 0.16586921850079744, 'Ripe': 0.7155009451795841, 'Rotten': 0.3549757281553398, 'Unripe': 0.5731030228254164, 'images': 0.0}","{'Overripe': 0.2613065326633166, 'Ripe': 0.5491476242292347, 'Rotten': 0.41696364932287955, 'Unripe': 0.5469531939947012, 'images': 0.0}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[104, 372, 82, 69, 0], [35, 1514, 225, 342, 0], [20, 750, 585, 293, 0], [7, 561, 124, 929, 0], [3, 201, 142, 143, 0]]"
CatBoost,100,0.03,4,5,0.483464082448854,0.42498208228283196,0.36188365491786884,0.3545957820372826,1.3432909999974072,0.0010316259066670689,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.6428571428571429, 'Ripe': 0.44557922381091336, 'Rotten': 0.5121527777777778, 'Unripe': 0.5243212669683258, 'images': 0.0}","{'Overripe': 0.15789473684210525, 'Ripe': 0.7216446124763705, 'Rotten': 0.3580097087378641, 'Unripe': 0.5718692165330043, 'images': 0.0}","{'Overripe': 0.2535211267605634, 'Ripe': 0.55096518130976, 'Rotten': 0.42142857142857143, 'Unripe': 0.5470640306875184, 'images': 0.0}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[99, 381, 76, 71, 0], [28, 1527, 225, 336, 0], [17, 759, 590, 282, 0], [7, 559, 128, 927, 0], [3, 201, 133, 152, 0]]"
CatBoost,100,0.03,6,1,0.5217658821719735,0.606694935706679,0.41043975201506966,0.41557700518674096,1.9697067999804858,0.0012261959725345943,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.625531914893617, 'Ripe': 0.4890335846470185, 'Rotten': 0.5186375321336761, 'Unripe': 0.5602716468590832, 'images': 0.84}","{'Overripe': 0.23444976076555024, 'Ripe': 0.6743856332703214, 'Rotten': 0.48968446601941745, 'Unripe': 0.6107341147439852, 'images': 0.04294478527607362}","{'Overripe': 0.34106728538283065, 'Ripe': 0.5669447755264203, 'Rotten': 0.5037453183520599, 'Unripe': 0.5844155844155844, 'images': 0.08171206225680934}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[147, 314, 105, 61, 0], [52, 1427, 325, 311, 1], [20, 554, 807, 265, 2], [13, 458, 159, 990, 1], [3, 165, 160, 140, 21]]"
CatBoost,100,0.03,6,3,0.5209967697277342,0.6061372919350744,0.40940100166474513,0.41472143931329714,2.082074100006139,0.0014067528104082087,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.6137339055793991, 'Ripe': 0.4902630679877007, 'Rotten': 0.5138620245003224, 'Unripe': 0.5609756097560976, 'images': 0.8518518518518519}","{'Overripe': 0.22807017543859648, 'Ripe': 0.6781663516068053, 'Rotten': 0.4836165048543689, 'Unripe': 0.6101172115977791, 'images': 0.04703476482617587}","{'Overripe': 0.3325581395348837, 'Ripe': 0.5691056910569106, 'Rotten': 0.49828071272272584, 'Unripe': 0.58451536643026, 'images': 0.08914728682170543}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[143, 311, 111, 62, 0], [49, 1435, 310, 321, 1], [23, 571, 797, 255, 2], [15, 450, 166, 989, 1], [3, 160, 167, 136, 23]]"
CatBoost,100,0.03,6,5,0.5214582371942778,0.6058022797167714,0.40948693764489946,0.41415813445635363,1.9092128000047524,0.0009082295066451975,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.6320346320346321, 'Ripe': 0.49245024021962935, 'Rotten': 0.5140664961636828, 'Unripe': 0.5571266968325792, 'images': 0.8333333333333334}","{'Overripe': 0.23285486443381181, 'Ripe': 0.6781663516068053, 'Rotten': 0.4878640776699029, 'Unripe': 0.607649599012955, 'images': 0.0408997955010225}","{'Overripe': 0.34032634032634035, 'Ripe': 0.5705765407554672, 'Rotten': 0.5006226650062267, 'Unripe': 0.5812924166420773, 'images': 0.07797270955165692}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[146, 309, 111, 61, 0], [45, 1435, 313, 322, 1], [24, 558, 804, 260, 2], [13, 455, 167, 985, 1], [3, 157, 169, 140, 20]]"
CatBoost,100,0.03,8,1,0.5611444393170282,0.6284857446854714,0.45642397115723093,0.469098606931359,11.219361099996604,0.000870235349110247,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.6378737541528239, 'Ripe': 0.5328413284132841, 'Rotten': 0.52989449003517, 'Unripe': 0.6148960739030023, 'images': 0.8269230769230769}","{'Overripe': 0.3062200956937799, 'Ripe': 0.6824196597353497, 'Rotten': 0.5485436893203883, 'Unripe': 0.6570018507094386, 'images': 0.08793456032719836}","{'Overripe': 0.41379310344827586, 'Ripe': 0.5984251968503937, 'Rotten': 0.5390578413834228, 'Unripe': 0.6352520131225768, 'images': 0.1589648798521257}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[192, 250, 127, 58, 0], [57, 1444, 348, 263, 4], [29, 490, 904, 222, 3], [20, 371, 163, 1065, 2], [3, 155, 164, 124, 43]]"
CatBoost,100,0.03,8,3,0.5551453622519612,0.6298897886984386,0.449201019709247,0.4597533114017297,11.171059100015555,0.0008218120280014306,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.6308724832214765, 'Ripe': 0.525890561880279, 'Rotten': 0.522248243559719, 'Unripe': 0.6132947976878613, 'images': 0.8571428571428571}","{'Overripe': 0.29984051036682613, 'Ripe': 0.6767485822306238, 'Rotten': 0.5412621359223301, 'Unripe': 0.6545342381246144, 'images': 0.0736196319018405}","{'Overripe': 0.4064864864864865, 'Ripe': 0.5918578218640215, 'Rotten': 0.531585220500596, 'Unripe': 0.6332438078185616, 'images': 0.13559322033898305}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[188, 262, 120, 57, 0], [62, 1432, 360, 259, 3], [27, 508, 892, 218, 3], [18, 371, 171, 1061, 0], [3, 150, 165, 135, 36]]"
CatBoost,100,0.03,8,5,0.5531456698969389,0.6276417329722631,0.44706240933128677,0.45712837742397816,10.546598899993114,0.0011753730202350727,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.6342281879194631, 'Ripe': 0.5252008765522279, 'Rotten': 0.5242890995260664, 'Unripe': 0.6044905008635578, 'images': 0.85}","{'Overripe': 0.3014354066985646, 'Ripe': 0.6795841209829868, 'Rotten': 0.5370145631067961, 'Unripe': 0.6477483035163479, 'images': 0.06952965235173825}","{'Overripe': 0.40864864864864864, 'Ripe': 0.5925010300782859, 'Rotten': 0.5305755395683454, 'Unripe': 0.6253722453841573, 'images': 0.1285444234404537}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[189, 264, 118, 56, 0], [58, 1438, 345, 273, 2], [28, 505, 885, 227, 3], [20, 381, 169, 1050, 1], [3, 150, 171, 131, 34]]"
CatBoost,100,0.05,4,1,0.5039224734656207,0.5437378985377855,0.3894216562117597,0.3867326120822539,1.2977191999962088,0.0008188740184771003,6501,5,"['Overripe', 'Ripe', 'Rotten', 'Unripe', 'images']","{'Overripe': 0.5982532751091703, 'Ripe': 0.4726666666666667, 'Rotten': 0.5037338764426341, 'Unripe': 0.5440356744704571, 'images': 0.6}","{'Overripe': 0.21850079744816586, 'Ripe': 0.6701323251417769, 'Rotten': 0.45024271844660196, 'Unripe': 0.6020974706971005, 'images': 0.006134969325153374}","{'Overripe': 0.32009345794392524, 'Ripe': 0.5543393275996873, 'Rotten': 0.4754886254405639, 'Unripe': 0.5715959004392387, 'images': 0.012145748987854251}","{'Overripe': 627, 'Ripe': 2116, 'Rotten': 1648, 'Unripe': 1621, 'images': 489}","[[137, 329, 97, 64, 0], [50, 1418, 311, 336, 1], [26, 601, 742, 278, 1], [13, 475, 157, 976, 0], [3, 177, 166, 140, 3]]"
